row_id,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,car_name_raw,horsepower_missing,split
39,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala,chevrolet impala,0,train
40,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham,pontiac catalina brougham,0,test
41,14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500,ford galaxie 500,0,train
42,14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii,plymouth fury iii,0,train
43,12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw),dodge monaco (sw),0,test
44,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw),ford country squire (sw),0,train
45,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw),pontiac safari (sw),0,train
46,18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw),amc hornet sportabout (sw),0,test
47,22.0,4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw),chevrolet vega (sw),0,test
48,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird,pontiac firebird,0,train
49,18.0,6,250.0,88.0,3139.0,14.5,71,1,ford mustang,ford mustang,0,train
50,23.0,4,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000,mercury capri 2000,0,train
51,28.0,4,116.0,90.0,2123.0,14.0,71,2,opel 1900,opel 1900,0,train
52,30.0,4,79.0,70.0,2074.0,19.5,71,2,peugeot 304,peugeot 304,0,train
53,30.0,4,88.0,76.0,2065.0,14.5,71,2,fiat 124b,fiat 124b,0,train
54,31.0,4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200,toyota corolla 1200,0,train
55,35.0,4,72.0,69.0,1613.0,18.0,71,3,datsun 1200,datsun 1200,0,train
56,27.0,4,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111,volkswagen model 111,0,test
57,26.0,4,91.0,70.0,1955.0,20.5,71,1,plymouth cricket,plymouth cricket,0,test
58,24.0,4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop,toyota corona hardtop,0,test
59,25.0,4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop,dodge colt hardtop,0,train
60,23.0,4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3,volkswagen type 3,0,train
61,20.0,4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega,chevrolet vega,0,train
62,21.0,4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout,ford pinto runabout,0,train
63,13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala,chevrolet impala,0,train
64,14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina,pontiac catalina,0,train
65,15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii,plymouth fury iii,0,train
66,14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500,ford galaxie 500,0,train
67,17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst,amc ambassador sst,0,train
68,11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis,mercury marquis,0,train
69,13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom,buick lesabre custom,0,train
70,12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale,oldsmobile delta 88 royale,0,train
71,13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal,chrysler newport royal,0,test
72,19.0,3,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe,mazda rx2 coupe,0,train
73,15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw),amc matador (sw),0,test
74,13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw),chevrolet chevelle concours (sw),0,test
75,13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw),ford gran torino (sw),0,train
76,14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw),plymouth satellite custom (sw),0,train
77,18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw),volvo 145e (sw),0,test
78,22.0,4,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw),volkswagen 411 (sw),0,test
79,21.0,4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw),peugeot 504 (sw),0,test
80,26.0,4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw),renault 12 (sw),0,train
81,22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw),ford pinto (sw),0,train
82,28.0,4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw),datsun 510 (sw),0,train
83,23.0,4,120.0,97.0,2506.0,14.5,72,3,toyota corona mark ii (sw),toyouta corona mark ii (sw),0,test
84,28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw),dodge colt (sw),0,train
85,27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw),toyota corolla 1600 (sw),0,test
86,13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350,buick century 350,0,train
87,14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador,amc matador,0,train
88,13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu,chevrolet malibu,0,train
89,14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino,ford gran torino,0,train
90,15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom,dodge coronet custom,0,train
91,12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham,mercury marquis brougham,0,train
92,13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic,chevrolet caprice classic,0,train
93,13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd,ford ltd,0,train
94,14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan,plymouth fury gran sedan,0,test
95,13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham,chrysler new yorker brougham,0,test
96,12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom,buick electra 225 custom,0,train
97,13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham,amc ambassador brougham,0,train
98,18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant,plymouth valiant,0,train
99,16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom,chevrolet nova custom,0,train
100,18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet,amc hornet,0,train
101,18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick,ford maverick,0,train
102,23.0,6,198.0,95.0,2904.0,16.0,73,1,plymouth duster,plymouth duster,0,test
103,26.0,4,97.0,46.0,1950.0,21.0,73,2,volkswagen super beetle,volkswagen super beetle,0,train
104,11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala,chevrolet impala,0,train
105,12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country,ford country,0,test
106,13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb,plymouth custom suburb,0,train
107,12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser,oldsmobile vista cruiser,0,train
108,18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin,amc gremlin,0,train
109,20.0,4,97.0,88.0,2279.0,19.0,73,3,toyota carina,toyota carina,0,train
110,21.0,4,140.0,72.0,2401.0,19.5,73,1,chevrolet vega,chevrolet vega,0,train
111,22.0,4,108.0,94.0,2379.0,16.5,73,3,datsun 610,datsun 610,0,train
112,18.0,3,70.0,90.0,2124.0,13.5,73,3,mazda rx3,maxda rx3,0,train
113,19.0,4,122.0,85.0,2310.0,18.5,73,1,ford pinto,ford pinto,0,train
114,21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6,mercury capri v6,0,test
115,26.0,4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe,fiat 124 sport coupe,0,test
116,15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s,chevrolet monte carlo s,0,train
117,16.0,8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix,pontiac grand prix,0,test
118,29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128,fiat 128,0,train
119,24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta,opel manta,0,train
120,20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls,audi 100ls,0,train
121,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,volvo 144ea,0,train
122,15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,dodge dart custom,0,train
123,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le,saab 99le,0,train
124,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,toyota mark ii,0,train
125,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,oldsmobile omega,0,test
126,20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster,plymouth duster,0,train
127,21.0,6,200.0,92.0,2875.0,17.0,74,1,ford maverick,ford maverick,1,test
128,19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet,amc hornet,0,train
129,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,chevrolet nova,0,train
130,31.0,4,79.0,67.0,1950.0,19.0,74,3,datsun b210,datsun b210,0,train
131,26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto,ford pinto,0,train
132,32.0,4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,toyota corolla 1200,0,train
133,25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,chevrolet vega,0,test
134,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,chevrolet chevelle malibu classic,0,train
135,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador,amc matador,0,train
136,18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,plymouth satellite sebring,0,train
137,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino,ford gran torino,0,train
138,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),buick century luxus (sw),0,train
139,14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),dodge coronet custom (sw),0,train
140,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),ford gran torino (sw),0,train
141,14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),amc matador (sw),0,test
142,29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox,audi fox,0,test
143,26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,volkswagen dasher,0,train
144,26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta,opel manta,0,train
145,31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona,toyota corona,0,train
146,32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710,datsun 710,0,train
147,28.0,4,90.0,75.0,2125.0,14.5,74,1,dodge colt,dodge colt,0,train
148,24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128,fiat 128,0,train
149,26.0,4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,fiat 124 tc,0,test
150,24.0,4,120.0,97.0,2489.0,15.0,74,3,honda civic,honda civic,0,train
151,26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru,subaru,0,train
152,31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,fiat x1.9,0,train
153,19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,plymouth valiant custom,0,test
154,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,chevrolet nova,0,train
155,15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch,mercury monarch,0,train
156,15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick,ford maverick,0,train
157,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,pontiac catalina,0,train
158,15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,chevrolet bel air,0,train
159,16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,plymouth grand fury,0,test
160,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd,ford ltd,0,train
161,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century,buick century,0,train
162,16.0,6,250.0,105.0,3897.0,18.5,75,1,chevrolet chevelle malibu,chevroelt chevelle malibu,0,train
163,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador,amc matador,0,train
164,18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury,plymouth fury,0,train
165,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,buick skyhawk,0,train
166,20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,chevrolet monza 2+2,0,train
167,13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,ford mustang ii,0,train
168,29.0,4,97.0,75.0,2171.0,16.0,75,3,toyota corolla,toyota corolla,0,train
169,23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto,ford pinto,0,test
170,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin,amc gremlin,0,train
171,23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro,pontiac astro,0,train
172,24.0,4,134.0,96.0,2702.0,13.5,75,3,toyota corona,toyota corona,0,train
173,25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,volkswagen dasher,0,test
174,24.0,4,119.0,97.0,2545.0,17.0,75,3,datsun 710,datsun 710,0,train
175,18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto,ford pinto,0,train
176,29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,volkswagen rabbit,0,test
177,19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer,amc pacer,0,train
178,23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls,audi 100ls,0,train
179,23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504,peugeot 504,0,train
180,22.0,4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,volvo 244dl,0,train
181,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le,saab 99le,0,test
182,33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,honda civic cvcc,0,test
183,28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131,fiat 131,0,train
184,25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900,opel 1900,0,train
185,25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii,capri ii,0,train
186,26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt,dodge colt,0,train
187,27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl,renault 12tl,0,train
188,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,chevrolet chevelle malibu classic,0,train
189,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,dodge coronet brougham,0,train
190,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador,amc matador,0,train
191,14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino,ford gran torino,0,train
192,22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,plymouth valiant,0,train
193,22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,chevrolet nova,0,train
194,24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick,ford maverick,0,train
195,22.5,6,232.0,90.0,3085.0,17.6,76,1,amc hornet,amc hornet,0,train
196,29.0,4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette,chevrolet chevette,0,train
197,24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,chevrolet woody,0,test
198,29.0,4,90.0,70.0,1937.0,14.2,76,2,volkswagen rabbit,vw rabbit,0,train
199,33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic,honda civic,0,test
200,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,dodge aspen se,0,train
201,18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,ford granada ghia,0,train
202,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,pontiac ventura sj,0,train
203,17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,amc pacer d/l,0,train
204,29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,volkswagen rabbit,0,train
205,32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210,datsun b-210,0,train
206,28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla,toyota corolla,0,train
207,26.5,4,140.0,72.0,2565.0,13.6,76,1,ford pinto,ford pinto,0,train
208,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245,volvo 245,0,train
209,13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,plymouth volare premier v8,0,test
210,19.0,4,120.0,88.0,3270.0,21.9,76,2,peugeot 504,peugeot 504,0,train
211,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,toyota mark ii,0,train
212,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,mercedes-benz 280s,0,train
213,16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,cadillac seville,0,train
214,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevrolet c10,chevy c10,0,train
215,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108,ford f108,0,train
216,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100,dodge d100,0,train
217,31.5,4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,honda accord cvcc,0,train
218,30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,buick opel isuzu deluxe,0,train
219,36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,renault 5 gtl,0,train
220,25.5,4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,plymouth arrow gs,0,train
221,33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,datsun f-10 hatchback,0,train
222,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,chevrolet caprice classic,0,train
223,17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,oldsmobile cutlass supreme,0,test
224,15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,dodge monaco brougham,0,train
225,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,mercury cougar brougham,0,train
226,17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,chevrolet concours,0,test
227,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark,buick skylark,0,train
228,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,plymouth volare custom,0,train
229,18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada,ford granada,0,train
230,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,pontiac grand prix lj,0,test
231,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,chevrolet monte carlo landau,0,train
232,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,chrysler cordoba,0,train
233,16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,ford thunderbird,0,train
234,29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,volkswagen rabbit custom,0,train
235,24.5,4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,pontiac sunbird coupe,0,test
236,26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,toyota corolla liftback,0,train
237,25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,ford mustang ii 2+2,0,train
238,30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,chevrolet chevette,0,train
239,33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,dodge colt m/m,0,test
240,30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl,subaru dl,0,train
241,30.5,4,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,volkswagen dasher,0,train
242,22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810,datsun 810,0,train
243,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,bmw 320i,0,train
244,21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,mazda rx-4,0,train
245,43.1,4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,volkswagen rabbit custom diesel,0,train
246,36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta,ford fiesta,0,train
247,32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,mazda glc deluxe,0,train
248,39.4,4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx,datsun b210 gx,0,train
249,36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,honda civic cvcc,0,train
250,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,oldsmobile cutlass salon brougham,0,test
251,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,dodge diplomat,0,train
252,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,mercury monarch ghia,0,train
253,19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,pontiac phoenix lj,0,train
254,20.5,6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu,chevrolet malibu,0,train
255,20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto),ford fairmont (auto),0,train
256,25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man),ford fairmont (man),0,train
257,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,plymouth volare,0,train
258,19.4,6,232.0,90.0,3210.0,17.2,78,1,amc concord,amc concord,0,train
259,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special,buick century special,0,train
260,20.8,6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr,mercury zephyr,0,train
261,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,dodge aspen,0,train
262,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,amc concord d/l,0,test
263,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,chevrolet monte carlo landau,0,test
264,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),buick regal sport coupe (turbo),0,train
265,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura,ford futura,0,train
266,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,dodge magnum xe,0,train
267,30.0,4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette,chevrolet chevette,0,train
268,27.5,4,134.0,95.0,2560.0,14.2,78,3,toyota corona,toyota corona,0,train
269,27.2,4,119.0,97.0,2300.0,14.7,78,3,datsun 510,datsun 510,0,train
270,30.9,4,105.0,75.0,2230.0,14.5,78,1,dodge omni,dodge omni,0,train
271,21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback,toyota celica gt liftback,0,train
272,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,plymouth sapporo,0,train
273,23.8,4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx,oldsmobile starfire sx,0,test
274,23.9,4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx,datsun 200-sx,0,train
275,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000,audi 5000,0,train
276,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,volvo 264gl,0,test
277,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,saab 99gle,0,train
278,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,peugeot 604sl,0,train
